,,,,2014,,,,,,,,,,,,2014
,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
ASP,NumOfInc: Documented Use of Force,,,5,12,11,11,14,8,1,6,3,7,9,5,92
CAC,NumOfInc: Documented Use of Force,,,3,1,5,3,2,0,3,4,2,3,2,2,30
CAL,NumOfInc: Documented Use of Force,,,17,21,19,20,21,11,27,21,28,29,25,19,258
CCC,NumOfInc: Documented Use of Force,,,22,13,8,18,9,6,19,10,10,10,13,13,151
CCI,NumOfInc: Documented Use of Force,,,17,15,21,10,17,13,15,18,17,7,8,8,166
CCWF,NumOfInc: Documented Use of Force,,,10,21,18,13,26,23,13,18,17,18,11,13,201
CEN,NumOfInc: Documented Use of Force,,,11,7,6,9,8,9,7,6,8,10,4,7,92
CHCF,NumOfInc: Documented Use of Force,,,7,15,13,22,15,20,12,15,17,13,10,10,169
CIM,NumOfInc: Documented Use of Force,,,9,8,11,11,9,13,16,10,6,6,6,9,114
CIW,NumOfInc: Documented Use of Force,,,9,16,9,15,17,9,10,12,16,13,12,10,148
CMC,NumOfInc: Documented Use of Force,,,10,6,18,12,17,8,9,9,11,17,11,13,141
CMF,NumOfInc: Documented Use of Force,,,13,11,12,9,17,6,12,9,10,8,8,12,127
COR,NumOfInc: Documented Use of Force,,,25,21,32,25,25,24,20,30,33,30,22,29,316
CRC,NumOfInc: Documented Use of Force,,,3,5,8,7,12,9,6,9,13,10,5,3,90
CTF,NumOfInc: Documented Use of Force,,,3,8,3,5,8,3,3,5,4,4,4,5,55
CVSP,NumOfInc: Documented Use of Force,,,2,0,3,3,2,2,1,1,0,2,5,1,22
DVI,NumOfInc: Documented Use of Force,,,10,8,8,10,11,8,5,14,14,10,14,8,120
FSP,NumOfInc: Documented Use of Force,,,6,4,11,8,4,6,5,11,6,4,4,7,76
HDSP,NumOfInc: Documented Use of Force,,,30,24,28,10,28,28,20,22,22,20,18,23,273
ISP,NumOfInc: Documented Use of Force,,,7,2,5,6,1,6,11,5,4,10,6,8,71
KVSP,NumOfInc: Documented Use of Force,,,29,25,39,27,32,19,24,31,28,27,17,19,317
LAC,NumOfInc: Documented Use of Force,,,35,32,30,38,41,39,37,44,19,45,41,33,434
MCSP,NumOfInc: Documented Use of Force,,,23,13,32,22,24,9,20,16,22,17,21,25,244
NKSP,NumOfInc: Documented Use of Force,,,37,35,47,28,22,30,31,31,19,13,19,19,331
PBSP,NumOfInc: Documented Use of Force,,,10,9,3,10,11,13,8,9,5,6,5,5,94
PVSP,NumOfInc: Documented Use of Force,,,13,13,11,15,10,9,5,2,4,9,11,12,114
RJD,NumOfInc: Documented Use of Force,,,7,14,23,19,12,18,19,10,12,12,10,16,172
SAC,NumOfInc: Documented Use of Force,,,47,36,34,26,44,32,61,52,53,43,41,44,513
SATF,NumOfInc: Documented Use of Force,,,22,23,14,17,18,16,14,19,20,13,21,19,216
SCC,NumOfInc: Documented Use of Force,,,9,13,16,7,6,6,6,8,5,6,7,6,95
SOL,NumOfInc: Documented Use of Force,,,8,10,14,10,13,12,12,14,12,5,10,8,128
SQ,NumOfInc: Documented Use of Force,,,12,11,14,14,7,10,9,12,12,11,5,9,126
SVSP,NumOfInc: Documented Use of Force,,,28,31,43,37,44,42,24,41,41,49,49,35,464
VSPW,NumOfInc: Documented Use of Force,,,1,2,4,2,3,0,3,3,3,3,1,3,28
WSP,NumOfInc: Documented Use of Force,,,39,24,32,25,38,31,43,28,25,31,10,11,337
Total - All Institutions,,,,539,509,605,524,588,498,531,555,521,521,465,469,"6,325"
